SKU,MEDIDA,MARCA,MODELO,UNIDAD,X2,X4,WEB,Columna1,PROMO,INSTALACION,Columna 1
,205/50R17,TRACMAX,TX3,60.000,,220.000,54.900,,,Sí,
,205/50R17,SONIX,UHP 08,65.000,,240.000,59.900,,,Sí,
2055515COMF510,205/55R15,COMFORSER,CF510,50.000,,190.000,49.900,,,Sí,66.900
,205/55R15,LING LONG,GREEN MAX,55.000,,200.000,52.900,,,Sí,
2055516APOLLO,205/55R16,APOLLO,M UNITED,,,299.600,74.900,4,LIQUIDACIÓN,Sí,
2055516NXGX,205/55R16,NEXEN,NPRIZ GX,,,279.600,69.900,4,LIQUIDACIÓN,Sí,
,205/55R16,SONIX,ECOPRO 99,50.000,,180.000,44.900,,,Sí,
2055516RYDAR02,205/55R16,RYDANZ,R03 RUNFLAT,90.000,,350.000,89.900,,,Sí,
2055517BRIDT005,205/55R17,BRIDGESTONE,TURANZA T005,,,499.600,124.900,4,LIQUIDACIÓN,Sí,
,205/55R17,SONIX,UHP08,65.000,,240.000,59900,,,Sí,
2055517ROADU11,205/55ZR17,ROADX,U11,75.000,,280.000,75.900,,,Sí,79.900
2056015GOODY,205/60R15,GOODYEAR,EFICIENT GRIP,,,399.600,99.900,4,LIQUIDACIÓN,Sí,
,205/60R15,SONIX,ECOPRO 99,53.000,,190.000,52.900,,,Sí,
2056015ROADH12,205/60R15,ROADX,H12,60.000,,220.000,60.900,,,Sí,64.900
2056015SUMAALLTE,205/60R15,SUMAXX,AT,75.000,,280.000,72.900,,,Sí,79.900
2056016APTA006,205/60R16,APTANY,RU006 AT,,,279.600,69.900,4,LIQUIDACIÓN,Sí,
2056016DK569D,205/60R16,DOUBLE KING,DK569,53.000,,190.000,49.900,,,Sí,
,205/60R16,SONIX,ECOPRO 99,60.000,,230.000,59.900,,,Sí,
,205/60R16,GOODRIDE,RP 28,65.000,,240.000,64.900,,,,
2056515ROADH12,205/65R15,ROADX,H12,60.000,,230.000,60.900,,,Sí,64.900
,205/65R15,ROADMARCH,ECOPRO 99,55.000,,200.000,54.900,,,Sí,
2056515ROTARONE,205/65R15,ROTARMAX,R-ONE,,99.800,,49.900,2,LIQUIDACIÓN,Sí,
2056515SUMAALLTE,205/65R15,SUMAXX,AT,,,299.600,74.900,4,LIQUIDACIÓN,Sí,83.900
2056516KINGG326,205/65R16C,KINGBOSS,G326,75.000,,290.000,69.900,,,Sí,
,205/65R16,ROADMARCH,PRIMESTAR 66,60.000,,220.000,59.900,,,Sí,
2056516ROADH12,205/65R16,ROADX,H12,65.000,,240.000,62.900,,,Sí,66.900
,205/70R14,SONIX,PRIMESTAR,65.000,,250.000,64.900,,,Sí,
2057015MIRAMR30,205/70R15C,MIRAGE,MR300,70.000,,260.000,69.900,,,Sí,
2057015SUMAAIN,205/70R15,SUMAXX,AT,,,319.600,79.900,4,LIQUIDACIÓN,Sí,96.900
,205/70R15,XBRI,BRUTUS TA,,,299.600,74.900,4,LIQUIDACIÓN,Sí,
2057016ZE914TH,205/70R16,FALKEN,ZE914,,249.800,,124.900,2,LIQUIDACIÓN,Sí,
2057516CPIRELLI,205/75R16C,PIRELLI,CHRONO,,,399.600,99.900,4,LIQUIDACIÓN,Sí,
2057516MIRAMR30,205/75R16C,MIRAGE,MR300,75.000,,280.000,69.900,,,Sí,
2153518ROADU11,215/35ZR18,ROADX,U11,70.000,,260.000,76.900,,,Sí,81.900
,215/35ZR18,SONIX,UHP 08,60.000,,230.000,64.900,,,Sí,
2154017ROADU11,215/40R17,ROADX,U11,,,219.600,54.900,4,LIQUIDACIÓN,Sí,68.900
2154018ROADU11,215/40ZR18,ROADX,U11,65.000,,240.000,76.900,,,Sí,81.900
2154516ROADU11,215/45ZR16,ROADX,U11,,,219.600,54.900,4,LIQUIDACIÓN,Sí,70.900
2154517APTRA301,215/45R17,APTANY,RA301,55.000,,210.000,49.900,,,Sí,
2154517ROADU11,215/45ZR17,ROADX,U11,63.000,,240.000,62.900,,,Sí,66.900
,215/45R17,WANLI,SPORT RACING,62.000,,230.000,61.900,,,Sí,
2154517SUMADRIFTX,215/45ZR17,SUMAXX,MAX DRIFTING X,70.000,,270.000,73.900,,,Sí,77.900
2154517SUMAZ1,215/45ZR17,SUMAXX,Z1,,,239.600,59.900,4,LIQUIDACIÓN,Sí,77.900
2154517102,215/45R17,DUNLOP,DZ102,,,479.600,119.900,4,LIQUIDACIÓN,Sí,
2154517FK453,215/45R17,FALKEN,FK453,,,399.600,99.900,4,LIQUIDACIÓN,Sí,
,215/45R17,NEXEN,NFERA SU1,,,379.600,94.900,4,LIQUIDACIÓN,Sí,
2154518HANKV12,215/45ZR18,HANKOOK,VENTUS V12 EVO 2,,,439.600,109.900,4,LIQUIDACIÓN,Sí,
,215/45R18,SONIX,UHP 08,70.000,,260.000,69.900,,,Sí,
2154518ROADU11,215/45ZR18,ROADX,U11,80.000,,300.000,87.900,,,Sí,92.900
2155013ROADXH03,215/50R13,ROADX,H03 LETRA BLANCA,60.000,,230.000,61.900,,,Sí,65.900
,215/50R17,WANLI,H220,65.000,,240.000,59.900,,,Sí,
,215/50R17,APTANY,RA301,60.000,,230.000,57.900,,,Sí,
2155017PRP7,215/50R17,PIRELLI,CINTURATO P7 K1,,,539.600,134.900,4,LIQUIDACIÓN,Sí,
2155017NXAH8,215/50R17,NEXEN,NPRIZ AH8,,,459.600,114.900,4,LIQUIDACIÓN,Sí,
2155017ROADU11,215/50ZR17,ROADX,U11,75.000,,280.000,74.900,,,Sí,78.900
2155017ROADMAS,215/50R17,ROADMARCH,PRIME AS,75.000,,280.000,74.900,,,Sí,
,215/50R17,SONIX,UHP 08,65.000,,250.000,64.900,,,Sí,
,215/50R18,LING LONG,GRIP MASTER,80.000,,300.000,79.900,,,Sí,
2155516HANKGT,215/55R16,HANKOOK,KINERGY GT,,,399.600,99.900,4,LIQUIDACIÓN,Sí,
2155516102,215/55R16,DUNLOP,DZ102,,,499.600,124.900,4,LIQUIDACIÓN,Sí,
,215/55R16,ROADMARCH,ECOPRO 99,60.000,,220.000,59.900,,,Sí,
2155516ROADU11,215/55R16,ROADX,U11,65.000,,250.000,74.900,,,Sí,79.900
2155517ROADU11,215/55ZR17,ROADX,U11,75.000,,290.000,74.900,,,Sí,79.900
,215/55R17,SONIX,UHP 08,67.000,,250.000,65.900,,,Sí,
2155518MAX050TH,215/55R18,DUNLOP,SPORT MAX 050,,,599.600,149.900,4,LIQUIDACIÓN,Sí,
2155518KIGG866,215/55R18,KINGBOSS,G866,75.000,,280.000,69.900,,,Sí,
,215/55ZR18,TRIANGLE,TH201,80.000,,300.000,81.900,,,Sí,
2156016COMFCF35,215/60R16C,COMFORSER,CF350,75.000,,280.000,69.900,,,Sí,99.900
2156016COMFCF51,215/60R16,COMFORSER,CF510,65.000,,250.000,67.900,,,Sí,72.900
,215/60R16,WANLI,SP 226,57.000,,220.000,54.900,,,Sí,
