SKU;MEDIDA;MARCA;MODELO;UNIDAD;X2;X4;WEB;Columna1;PROMO;INSTALACION;Columna 1
;205/50R15;ROADX;H12;60.000;;230.000;59.900;;;Sí;
;205/50R15;SONIX;PRIMESTAR 66;50.000;;190.000;47.900;;;Sí;69.900
;205/50R16;SONIX;ECOPRO 99;55.000;;210.000;54.900;;;Sí;
;205/50ZR16;ROADX;U11;60.000;;230.000;59.900;;;Sí;65.900
;205/50R17;DUNLOP ;LM705;120.000;;450.000;114.900;;;Sí;
;205/50ZR17;ROADX;U11;70.000;;260.000;64.900;;;Sí;69.900
;205/50R17;TRACMAX;TX3;60.000;;230.000;54.900;;;Sí;
;205/50R17;ROADX;U11 RUNFLAT;115.000;;440.000;114.900;;;Sí;
;205/50R17;SONIX;UHP 08;65.000;;240.000;59.900;;;Sí;
;205/55R15;COMFORSER;CF510;50.000;;195.000;49.900;;;Sí;67.900
;205/55R15;LING LONG;GREEN MAX  ;55.000;;215000;54.900;;;Sí;
;205/55R16;APOLLO;M UNITED;;;320.000;79.900;;;Sí;
;205/55R16;NEXEN;NPRIZ GX;75.000;;280.000;69.900;;;Sí;72.900
;205/55R16;FALKEN;ZE310R;90.000;;340.000;84.900;;;Sí;
;205/55R16;NEXEN;NPRIZ AH5;85.000;;330.000;84.900;;;Sí;
;205/55R16;SONIX;ECOPRO 99;50.000;;180.000;44.900;;;Sí;66.900
;205/55R16;SUMAXX;Z1;;;220.000;54.900;;;Sí;
;205/55R16;LING LONG;COMFORT MASTER;55.000;;210.000;54.900;;;Sí;
;205/55R16;RYDANZ;R03 RUNFLAT;90.000;;350.000;89.900;;;Sí;
;205/55R17;SONIX;UHP08;65.000;;250.000;64.900;;;Sí;
;205/55ZR17;ROADX;U11;75.000;;280.000;699.000;;;Sí;
;205/55R17;LING LONG;GREEMAX HP010;70.000;;260.000;64.900;;;Sí;
;205/55R19;SONIX;LZEAL 56;100.000;;380.000;99900;;;Sí;
;205/60R15;SONIX;ECOPRO 99;53.000;;200.000;49.900;;;Sí;79.900
;205/60R15;ROADX;H12;60.000;;230.000;59.900;;;Sí;
;205/60R15;SUMAXX;AT;75.000;145.000;280.000;69.900;;;Sí;
;205/60R16;GOODRIDE;SL 369 AT;75.000;;280.000;74.900;;;Sí;64.900
;205/60R16;DOUBLE KING;DK569;53.000;;190.000;49.900;;;Sí;79.900
;205/60R16;SONIX;ECOPRO 99;60.000;;230.000;59.900;;;Sí;
;205/60R16;GOODRIDE;RP 28;65.000;;250.000;64.900;;;Sí;
;205/60R16;NEXEN;NPRIZ GX;75.000;;280.000;74.900;;;Sí;
;205/60R16;NEXEN;NBLUE HD PLUS;90.000;;340.000;89.900;;;;
;205/65R15;ROADX;H12;60.000;;230.000;59.900;;;Sí;64.900
;205/65R15;ROADMARCH;ECOPRO 99;55.000;;210.000;54.900;;;Sí;
;205/65R15;ROTARMAX;R-ONE;;100.000;;49.900;;;Sí;
;205/65R15;SUMAXX;AT;75.000;;290.000;74.900;;;Sí;83.900
;205/65R15;DUNLOP ;SPT1;;159900;;;;;Sí;
;205/65R16C;KINGBOSS;G326;75.000;;290.000;69.900;;;Sí;
;205/65R16;ROADMARCH;PRIMESTAR 66;60.000;;230.000;59.900;;;Sí;66.900
;205/65R16;ROADX;H12;65.000;;240.000;59.900;;;Sí;
;205/70R14;SONIX;PRIMESTAR;65.000;;250.000;64.900;;;Sí;
;205/70R15C;ROADMARCH;PRIMEVAN 9;70.000;;270.000;69.900;;;Sí;96.900
;205/70R15;SUMAXX;AT;75.000;;290.000;79.900;;;Sí;
;205/70R16;FALKEN;ZE914;;250.000;;124.900;;;Sí;
;205/75R16C;MIRAGE;MR300;75.000;;280.000;69.900;;;Sí;
;215/35ZR18;ROADX;U11;70.000;;270.000;69.900;;;Sí;
;215/35ZR18;SONIX;UHP 08;60.000;;230.000;64.900;;;Sí;81.900
;215/40R16;ROADMARCH;UHP 08;;;180.000;;;;Sí;
;215/40R17;ROADX;U11;60.000;;220.000;54.900;;;Sí;68.900
;215/40ZR18;ROADX;U11;65.000;;240.000;69.900;;;Sí;81.900
